AMU,Pressure1,Pressure2,Pressure3
1,-3.93E-09,-3.93E-09,-4.24E-09
1.1,-2.95E-09,-2.95E-09,-3.30E-09
1.2,6.57E-08,6.57E-08,6.66E-08
1.3,7.92E-07,7.92E-07,8.11E-07
1.4,5.36E-07,5.36E-07,5.54E-07
1.5,3.23E-06,3.23E-06,3.32E-06
1.6,7.94E-06,7.94E-06,8.09E-06
1.7,1.28E-05,1.28E-05,1.34E-05
1.8,1.57E-05,1.57E-05,1.65E-05
1.9,1.84E-05,1.84E-05,1.92E-05
2,1.89E-05,1.89E-05,1.98E-05
2.1,1.84E-05,1.84E-05,1.93E-05
2.2,1.74E-05,1.74E-05,1.83E-05
2.3,1.34E-05,1.34E-05,1.41E-05
2.4,3.47E-06,3.47E-06,3.64E-06
2.5,5.97E-08,5.97E-08,6.10E-08
2.6,1.50E-08,1.50E-08,1.54E-08
2.7,1.73E-08,1.73E-08,1.87E-08
2.8,2.92E-08,2.92E-08,3.26E-08
2.9,4.22E-08,4.22E-08,4.77E-08
3,4.61E-08,4.61E-08,5.17E-08
3.1,4.98E-08,4.98E-08,5.63E-08
3.2,4.67E-08,4.67E-08,5.26E-08
3.3,3.85E-08,3.85E-08,4.31E-08
3.4,2.06E-08,2.06E-08,2.21E-08
3.5,7.30E-09,7.30E-09,7.56E-09
3.6,3.36E-09,3.36E-09,3.40E-09
3.7,1.90E-09,1.90E-09,1.86E-09
3.8,1.30E-09,1.30E-09,1.27E-09
3.9,9.69E-10,9.69E-10,1.08E-09
4,8.20E-10,6.58E-10,9.31E-10
4.1,7.55E-10,6.27E-10,9.17E-10
4.2,7.11E-10,6.38E-10,8.10E-10
4.3,6.37E-10,5.17E-10,7.15E-10
4.4,2.48E-10,3.20E-11,2.52E-10
4.5,-5.05E-12,-2.31E-10,-6.90E-11
4.6,-8.02E-11,-2.21E-10,-4.99E-11
4.7,-1.44E-10,-3.11E-10,-9.42E-11
4.8,-2.22E-10,-2.88E-10,-1.93E-10
4.9,-2.15E-10,-2.21E-10,-2.19E-10
5,-2.48E-10,-2.63E-10,-2.24E-10
5.1,-2.89E-10,-4.14E-10,-2.28E-10
5.2,-2.43E-10,-4.57E-10,-1.93E-10
5.3,-2.25E-10,-4.09E-10,-1.85E-10
5.4,-3.01E-10,-2.93E-10,-1.86E-10
5.5,-2.23E-10,-2.61E-10,-2.11E-10
5.6,-1.88E-10,-2.08E-10,-2.07E-10
5.7,-2.09E-10,-1.21E-10,-2.26E-10
5.8,-1.86E-10,-1.74E-10,-1.39E-10
5.9,-2.36E-10,-2.00E-10,-1.24E-10
6,-2.22E-10,-1.96E-10,-1.02E-10
6.1,-1.28E-10,-2.29E-10,-7.01E-11
6.2,-1.19E-10,-2.17E-10,-8.86E-11
6.3,-1.17E-10,-1.78E-10,-8.13E-11
6.4,-1.58E-10,-9.48E-11,-1.13E-10
6.5,-1.80E-10,-1.32E-10,-8.41E-11
6.6,-1.48E-10,-2.08E-10,-7.91E-11
6.7,-1.72E-10,-2.10E-10,-3.87E-11
6.8,-1.86E-10,-2.13E-10,-1.57E-11
6.9,-1.35E-10,-1.95E-10,-5.33E-11
7,-1.28E-10,-2.13E-10,-4.99E-11
7.1,-1.23E-10,-1.70E-10,-8.13E-11
7.2,-7.29E-11,-2.00E-10,-1.14E-10
7.3,-8.19E-11,-2.23E-10,-1.48E-10
7.4,-3.98E-11,-2.19E-10,-1.83E-10
7.5,-2.41E-11,-1.82E-10,-1.15E-10
7.6,-2.75E-11,-1.99E-10,-6.56E-11
7.7,7.74E-11,-1.24E-10,-2.80E-12
7.8,5.72E-11,-3.37E-11,3.65E-11
7.9,-1.57E-11,3.93E-11,1.56E-10
8,3.70E-11,8.19E-11,1.58E-10
8.1,5.66E-11,1.21E-10,2.13E-10
8.2,8.64E-11,1.76E-10,2.33E-10
8.3,1.24E-10,1.67E-10,2.45E-10
8.4,8.02E-11,1.40E-11,2.12E-10
8.5,-1.35E-11,-5.50E-11,1.14E-10
8.6,-1.40E-11,-6.73E-11,1.54E-10
8.7,-2.41E-11,-1.05E-10,8.41E-11
8.8,-4.32E-11,-1.48E-10,-1.12E-12
8.9,-8.36E-11,-1.22E-10,-1.51E-11
9,-4.26E-11,-1.09E-10,-2.02E-11
9.1,-1.35E-11,-8.81E-11,-6.28E-11
9.2,-6.84E-11,-6.67E-11,-9.93E-11
9.3,-8.30E-11,-9.76E-11,-1.40E-10
9.4,-6.23E-11,-8.86E-11,-9.53E-11
9.5,-8.19E-11,-3.31E-11,-8.64E-11
9.6,-2.92E-11,-5.83E-11,-4.37E-11
9.7,-4.37E-11,-9.48E-11,6.73E-12
9.8,-7.52E-11,-1.33E-10,2.75E-11
9.9,-7.46E-11,-5.83E-11,2.64E-11
10,-1.23E-10,1.12E-12,1.23E-11
10.1,-1.19E-10,1.23E-11,-2.24E-11
10.2,-1.32E-10,-6.62E-11,-5.61E-13
10.3,-8.81E-11,-6.23E-11,-1.01E-11
10.4,-1.18E-10,-1.23E-10,1.23E-11
10.5,-1.02E-10,-1.21E-10,4.26E-11
10.6,-1.16E-10,-1.50E-10,6.23E-11
10.7,-5.16E-11,-1.19E-10,2.47E-11
10.8,-2.97E-11,-1.20E-10,-1.63E-11
10.9,-2.52E-11,-1.42E-10,3.93E-11
11,-1.28E-10,-1.22E-10,4.26E-11
11.1,-1.16E-10,-1.30E-10,-1.91E-11
11.2,-5.66E-11,-1.27E-10,-1.57E-11
11.3,-8.92E-11,-8.47E-11,-2.80E-12
11.4,-1.46E-11,-5.38E-11,3.03E-11
11.5,2.06E-10,2.51E-10,2.86E-10
11.6,1.82E-09,2.12E-09,1.82E-09
11.7,5.04E-09,6.06E-09,4.84E-09
11.8,9.33E-09,1.09E-08,8.74E-09
11.9,1.30E-08,1.49E-08,1.19E-08
12,1.49E-08,1.72E-08,1.39E-08
12.1,1.49E-08,1.72E-08,1.42E-08
12.2,1.37E-08,1.56E-08,1.30E-08
12.3,1.08E-08,1.22E-08,1.03E-08
12.4,5.32E-09,5.70E-09,5.07E-09
12.5,2.66E-09,2.77E-09,2.56E-09
12.6,1.58E-09,1.66E-09,1.51E-09
12.7,1.27E-09,1.33E-09,1.17E-09
12.8,1.26E-09,1.40E-09,1.13E-09
12.9,1.39E-09,1.56E-09,1.27E-09
13,1.45E-09,1.66E-09,1.36E-09
13.1,1.51E-09,1.69E-09,1.44E-09
13.2,1.43E-09,1.66E-09,1.45E-09
13.3,1.19E-09,1.43E-09,1.30E-09
13.4,7.74E-10,9.10E-10,9.40E-10
13.5,5.87E-10,7.01E-10,7.51E-10
13.6,1.28E-09,1.42E-09,1.31E-09
13.7,3.11E-09,3.41E-09,3.03E-09
13.8,5.43E-09,6.10E-09,5.36E-09
13.9,7.61E-09,8.54E-09,7.53E-09
14,9.01E-09,1.03E-08,8.98E-09
14.1,9.41E-09,1.07E-08,9.30E-09
14.2,9.00E-09,1.01E-08,8.85E-09
14.3,7.69E-09,8.49E-09,7.46E-09
14.4,4.20E-09,4.59E-09,4.16E-09
14.5,2.38E-09,2.56E-09,2.40E-09
14.6,2.40E-09,2.74E-09,2.29E-09
14.7,4.28E-09,5.04E-09,3.92E-09
14.8,7.01E-09,8.70E-09,6.57E-09
14.9,9.67E-09,1.20E-08,9.08E-09
15,1.15E-08,1.41E-08,1.08E-08
15.1,1.22E-08,1.47E-08,1.14E-08
15.2,1.19E-08,1.43E-08,1.14E-08
15.3,1.08E-08,1.29E-08,1.02E-08
15.4,7.22E-09,8.22E-09,6.88E-09
15.5,9.53E-09,1.07E-08,9.38E-09
15.6,4.97E-08,5.44E-08,4.92E-08
15.7,1.21E-07,1.26E-07,1.20E-07
15.8,1.65E-07,1.71E-07,1.65E-07
15.9,1.85E-07,1.91E-07,1.84E-07
16,1.90E-07,1.96E-07,1.89E-07
16.1,1.80E-07,1.87E-07,1.79E-07
16.2,1.61E-07,1.69E-07,1.62E-07
16.3,1.01E-07,1.05E-07,1.02E-07
16.4,3.08E-08,3.15E-08,3.13E-08
16.5,9.71E-08,1.04E-07,9.80E-08
16.6,5.28E-07,5.45E-07,5.30E-07
16.7,9.23E-07,9.35E-07,9.36E-07
16.8,1.23E-06,1.24E-06,1.25E-06
16.9,1.37E-06,1.38E-06,1.39E-06
17,1.40E-06,1.41E-06,1.43E-06
17.1,1.32E-06,1.34E-06,1.36E-06
17.2,1.18E-06,1.20E-06,1.20E-06
17.3,6.17E-07,6.19E-07,6.32E-07
17.4,9.98E-08,1.03E-07,1.01E-07
17.5,4.44E-07,4.66E-07,4.42E-07
17.6,2.13E-06,2.18E-06,2.15E-06
17.7,3.66E-06,3.70E-06,3.75E-06
17.8,4.93E-06,4.99E-06,5.06E-06
17.9,5.55E-06,5.62E-06,5.67E-06
18,5.71E-06,5.79E-06,5.82E-06
18.1,5.45E-06,5.55E-06,5.56E-06
18.2,4.90E-06,4.95E-06,4.98E-06
18.3,2.66E-06,2.62E-06,2.70E-06
18.4,5.94E-08,5.84E-08,6.00E-08
18.5,1.29E-08,1.27E-08,1.31E-08
18.6,1.16E-08,1.08E-08,1.18E-08
18.7,2.13E-08,1.86E-08,2.20E-08
18.8,3.46E-08,2.99E-08,3.65E-08
18.9,4.47E-08,3.90E-08,4.75E-08
19,4.96E-08,4.35E-08,5.28E-08
19.1,4.86E-08,4.30E-08,5.16E-08
19.2,4.54E-08,4.05E-08,4.78E-08
19.3,3.55E-08,3.17E-08,3.72E-08
19.4,1.28E-08,1.18E-08,1.31E-08
19.5,5.26E-09,4.86E-09,5.25E-09
19.6,3.46E-09,3.28E-09,3.41E-09
19.7,3.67E-09,3.63E-09,3.64E-09
19.8,4.83E-09,4.73E-09,4.78E-09
19.9,6.14E-09,6.00E-09,6.19E-09
20,7.08E-09,6.93E-09,7.18E-09
20.1,7.38E-09,7.34E-09,7.56E-09
20.2,7.31E-09,7.20E-09,7.48E-09
20.3,6.45E-09,6.21E-09,6.54E-09
20.4,3.59E-09,3.40E-09,3.64E-09
20.5,1.77E-09,1.71E-09,1.78E-09
20.6,9.88E-10,8.05E-10,9.08E-10
20.7,5.77E-10,3.01E-10,2.89E-10
20.8,-2.75E-11,-1.09E-10,2.86E-11
20.9,-6.28E-11,-4.37E-11,5.27E-11
21,-2.41E-11,3.93E-12,3.59E-11
21.1,5.72E-11,-1.12E-11,2.36E-11
21.2,-1.29E-11,-7.46E-11,1.35E-11
21.3,-1.40E-11,-1.05E-10,-1.51E-11
21.4,-3.42E-11,-8.36E-11,3.48E-11
21.5,-7.23E-11,-1.14E-10,7.57E-11
21.6,8.58E-11,-2.24E-12,2.29E-10
21.7,4.74E-10,3.03E-10,6.00E-10
21.8,8.07E-10,7.68E-10,7.26E-10
21.9,9.32E-10,8.99E-10,8.43E-10
22,1.09E-09,1.10E-09,9.86E-10
22.1,1.10E-09,1.21E-09,1.09E-09
22.2,1.02E-09,1.23E-09,1.12E-09
22.3,8.85E-10,9.85E-10,9.64E-10
22.4,3.91E-10,5.13E-10,5.51E-10
22.5,-1.18E-11,-5.72E-11,5.89E-11
22.6,-6.11E-11,-1.16E-10,-4.49E-12
22.7,-3.03E-11,-7.35E-11,-7.18E-11
22.8,-1.12E-10,-5.38E-11,-5.95E-11
22.9,-1.06E-10,-3.42E-11,-9.87E-11
23,-3.81E-11,-6.45E-11,-1.06E-10
23.1,-4.88E-11,-9.81E-11,-3.48E-11
23.2,-5.61E-11,-9.42E-11,-2.97E-11
23.3,-4.26E-11,-7.40E-11,-3.20E-11
23.4,-3.53E-11,-1.04E-10,-5.66E-11
23.5,-5.05E-11,-1.18E-10,-1.63E-11
23.6,-2.97E-11,-5.89E-11,-2.52E-11
23.7,-4.21E-11,-8.86E-11,-5.55E-11
23.8,1.91E-11,-9.37E-11,5.95E-11
23.9,2.41E-11,-1.19E-10,6.84E-11
24,-6.73E-12,-1.45E-10,3.03E-11
24.1,-1.07E-11,-8.64E-11,7.35E-11
24.2,-3.42E-11,-1.17E-10,7.68E-11
24.3,-4.49E-11,-1.32E-10,4.15E-11
24.4,1.12E-12,-1.44E-10,-8.97E-12
24.5,3.03E-11,-1.21E-10,-5.05E-12
24.6,7.07E-11,-1.09E-10,-2.02E-11
24.7,5.44E-11,-5.27E-11,5.27E-11
24.8,1.87E-10,-6.56E-11,1.45E-10
24.9,1.67E-10,7.85E-12,9.25E-11
25,2.42E-10,9.48E-11,1.67E-10
25.1,2.92E-10,1.24E-10,1.95E-10
25.2,2.45E-10,9.87E-11,1.53E-10
25.3,2.27E-10,9.65E-11,2.01E-10
25.4,1.50E-10,3.37E-12,1.49E-10
25.5,1.41E-10,6.45E-11,1.13E-10
25.6,2.97E-10,3.89E-10,2.50E-10
25.7,7.98E-10,7.77E-10,8.37E-10
25.8,9.68E-10,1.10E-09,1.05E-09
25.9,1.13E-09,1.41E-09,1.23E-09
26,1.35E-09,1.59E-09,1.39E-09
26.1,1.48E-09,1.78E-09,1.51E-09
26.2,1.52E-09,1.77E-09,1.55E-09
26.3,1.42E-09,1.63E-09,1.42E-09
26.4,9.58E-10,1.01E-09,9.46E-10
26.5,7.18E-10,6.86E-10,6.85E-10
26.6,9.94E-10,1.00E-09,8.61E-10
26.7,1.66E-09,1.95E-09,1.47E-09
26.8,2.45E-09,3.04E-09,2.21E-09
26.9,3.42E-09,4.23E-09,3.04E-09
27,4.12E-09,5.22E-09,3.72E-09
27.1,4.66E-09,5.92E-09,4.20E-09
27.2,4.98E-09,6.14E-09,4.62E-09
27.3,5.08E-09,6.27E-09,4.81E-09
27.4,4.62E-09,5.68E-09,4.45E-09
27.5,9.36E-09,1.14E-08,8.78E-09
27.6,4.53E-08,5.53E-08,4.27E-08
27.7,9.56E-08,1.10E-07,9.02E-08
27.8,1.31E-07,1.48E-07,1.24E-07
27.9,1.54E-07,1.74E-07,1.46E-07
28,1.62E-07,1.80E-07,1.53E-07
28.1,1.57E-07,1.76E-07,1.49E-07
28.2,1.39E-07,1.57E-07,1.32E-07
28.3,9.16E-08,1.00E-07,8.72E-08
28.4,1.71E-08,1.75E-08,1.68E-08
28.5,6.59E-09,6.66E-09,6.63E-09
28.6,4.63E-09,4.63E-09,4.68E-09
28.7,4.95E-09,4.86E-09,5.06E-09
28.8,6.22E-09,6.20E-09,6.36E-09
28.9,7.74E-09,7.88E-09,7.84E-09
29,8.99E-09,9.08E-09,9.13E-09
29.1,9.54E-09,9.52E-09,9.55E-09
29.2,9.42E-09,9.39E-09,9.38E-09
29.3,8.30E-09,8.19E-09,8.22E-09
29.4,4.85E-09,4.68E-09,4.78E-09
29.5,3.61E-09,3.46E-09,3.48E-09
29.6,6.66E-09,6.74E-09,6.42E-09
29.7,1.24E-08,1.26E-08,1.19E-08
29.8,1.89E-08,1.95E-08,1.82E-08
29.9,2.47E-08,2.57E-08,2.41E-08
30,2.78E-08,2.88E-08,2.74E-08
30.1,2.81E-08,2.90E-08,2.77E-08
30.2,2.64E-08,2.73E-08,2.59E-08
30.3,2.12E-08,2.16E-08,2.08E-08
30.4,8.98E-09,8.97E-09,8.79E-09
30.5,4.13E-09,3.95E-09,3.98E-09
30.6,2.24E-09,2.18E-09,2.20E-09
30.7,1.46E-09,1.45E-09,1.55E-09
30.8,1.18E-09,1.17E-09,1.34E-09
30.9,1.19E-09,1.15E-09,1.26E-09
31,1.31E-09,1.15E-09,1.28E-09
31.1,1.41E-09,1.29E-09,1.43E-09
31.2,1.59E-09,1.58E-09,1.68E-09
31.3,2.10E-09,2.16E-09,2.10E-09
31.4,3.17E-09,3.38E-09,2.86E-09
31.5,9.96E-09,1.18E-08,8.55E-09
31.6,4.93E-08,5.99E-08,4.14E-08
31.7,9.39E-08,1.09E-07,8.21E-08
31.8,1.25E-07,1.42E-07,1.09E-07
31.9,1.48E-07,1.68E-07,1.30E-07
32,1.56E-07,1.76E-07,1.38E-07
32.1,1.52E-07,1.72E-07,1.35E-07
32.2,1.36E-07,1.54E-07,1.20E-07
32.3,8.39E-08,9.20E-08,7.51E-08
32.4,1.61E-08,1.63E-08,1.54E-08
32.5,6.05E-09,6.02E-09,5.98E-09
32.6,3.10E-09,3.03E-09,3.08E-09
32.7,1.81E-09,1.89E-09,1.94E-09
